# coordination/total atoms in the system
# A\Al\
# B\B\
# shell	r_shell	C_shell
0	0.9995	1.33333310585
1	1.4145	1.99999974228
2	1.7325	0.999999885026
3	1.9995	3.33333297317
4	2.2365	3.99999958452
