# coordination/total atoms in the system
# A\F\
# B\Ca\
# shell	r_shell	C_shell
0	0.4335	2.66666510417
1	0.8295	7.99999789117
2	1.0895	7.99999829843
3	1.2995	10.6666646204
4	1.4795	15.999997111
5	1.6395	7.99999861204
6	1.7855	15.9999973019
7	1.9205	23.9999960379
8	2.0465	7.99999870088
9	2.1655	18.6666636751
10	2.2775	23.9999961946
11	2.3845	15.9999974856
12	2.4875	23.999996257
