# coordination/total atoms in the system
# A\B\
# B\Al\
# shell	r_shell	C_shell
0	0.7635	3.99999907934
1	1.2585	3.9999994407
2	1.6075	11.9999985665
3	1.8925	3.99999955809
4	2.1405	15.9999983136
5	2.3625	3.99999959144
